treatment,shelterBlock,shelter,plot
consistentDry,A,1,1
fallDry,A,1,2
controlRain,A,0,3
springDry,A,1,4
fallDry,B,1,5
controlRain,B,0,6
springDry,B,1,7
consistentDry,B,1,8
fallDry,C,1,9
consistentDry,C,1,10
controlRain,C,0,11
springDry,C,1,12
fallDry,D,1,13
consistentDry,D,1,14
controlRain,D,0,15
springDry,D,1,16
